fval,d1,d2,d3,d4,lam,p1,p2
2.64,-0.4251296841974258,0.04602514668824778,-0.0844960499226792,-0.2515107518626598,561.7036187881802,1376.1030849297267 + 0.0im,1439.703723316916 - 14.968206524768878im
2.33,-0.49786331727321553,0.04779902246521318,-0.04667225689040763,-0.31248205545261787,571.262083701547,1389.6964122793158 + 0.0im,1447.2160467152564 - 31.548291153972592im
2.83,-0.48009048135224264,0.046171694025176596,0.040935335249749516,-0.36880562565525127,524.090747307723,1388.531284094205 + 0.0im,1460.6588924660468 - 34.77282877934753im
2.41,-0.42457522853069607,0.046909948338243954,-0.08074787254512737,-0.34818873026500696,594.1030116208003,1378.8355836867859 + 0.0im,1441.4250695315204 - 21.215189836392273im
2.31,-0.4748747475464558,0.04596241335418649,-0.06309835846116582,-0.2879644808418568,549.880404833185,1373.1540610182476 + 0.0im,1447.850212380166 - 20.831286855856845im
2.75,-0.4191378309746577,0.04699538963935232,-0.09698655147596605,-0.2682064263435871,574.7060774746656,1373.9778495462608 + 0.0im,1438.5787745721166 - 14.444839433550603im
2.56,-0.48992476327818785,0.04706687272421106,-0.050814582782142334,-0.26598708797772624,570.5211919924421,1392.2197353203978 + 0.0im,1442.0348108059572 - 27.879510590863685im
2.6,-0.42970570946067366,0.04381469060719832,-0.09298708223783861,-0.3053514924470075,590.0768805430652,1380.1559378755064 + 0.0im,1439.8586739347493 - 18.630949919635942im
2.33,-0.48579899203583765,0.04770384574721796,-0.022108417429759518,-0.26838317464553835,530.306527919072,1383.510571260943 + 0.0im,1448.978650737597 - 23.600936454411585im
3.67,-0.48028597667117406,0.04439157233428387,-0.06850155281500384,-0.3202620184181474,618.0422074835992,1396.133886408693 + 0.0im,1438.407886810666 - 36.121538870872584im
2.22,-0.4143504720262439,0.044836954520414016,-0.06758015305174071,-0.37513729952508834,584.6542244728494,1373.7190138401756 + 0.0im,1445.6368919904673 - 21.68094604669198im
3.6,-0.4372121326231469,0.044110998872191255,-0.08572592442536346,-0.37383798768375504,635.2409475823046,1392.3233485283367 + 0.0im,1436.9303986691941 - 30.89808048673688im
2.69,-0.49694219552482866,0.04799945180839992,-0.09285159065983252,-0.2536225038760827,587.1060971003401,1388.3512959076286 + 0.0im,1438.6111520025497 - 23.933760706532468im
2.93,-0.4629825412483183,0.04580764253357066,-0.03742223416006998,-0.3186875681699707,588.8235479906347,1394.9952164536635 + 0.0im,1441.6221495626833 - 33.013022372249054im
