i,fval,d1,d2,d3,d4,lam,p11,p1,p2
659,2.65,-0.6178288539227597,0.0533823916343759,-0.06012108132991853,-0.16753078373979713,552.1863200492932,1377.2070478396895 - 44.96492184755897im,1394.4205748222555 + 0.0im,1446.4631565702252 - 33.48835706780416im
660,2.81,-0.42286049653135416,0.04577500884939605,-0.02642439698581986,-0.3202686376407704,537.7583725481339,1370.4417245502075 - 62.56148143988474im,1374.3486772748747 + 0.0im,1448.0202417844164 - 19.960099297496424im
661,2.72,-0.36286217845976754,0.03288954474375322,0.02433188758653433,-0.4436399078224405,578.4399887361104,1374.6364521102646 - 46.553466622021055im,1394.3551657806827 + 0.0im,1452.2273595309928 - 35.16653840615562im
662,4.28,-0.11703700435344566,0.02610775477501406,0.19509197215489765,-0.7507731330177139,518.2878768781222,1371.3980502226061 - 65.29090918541662im,1377.9387672062621 + 0.0im,1471.6098041240944 - 29.138223677913388im
663,3.48,-0.27901642945330984,0.05912803212412973,0.05415549778534045,-0.5203236269363319,587.6215932190927,1372.0126043817713 - 56.2388302141616im,1392.3106123018974 + 0.0im,1438.1671180860153 - 31.915932619249546im
667,2.63,-0.6387445742340302,0.07827349495096961,-0.08637650510156804,-0.1901159790924172,550.636385370839,1373.6550208527635 - 65.37451329959612im,1378.6472683778975 + 0.0im,1441.251686694023 - 29.29287824195671im
668,2.73,-0.3814510606104587,0.0682265221445946,0.010950039542175452,-0.409401009196166,558.132206282016,1370.5519203101355 - 64.54759977592562im,1379.4112228515123 + 0.0im,1440.6971724738107 - 25.276898082247186im
669,3.48,-0.5444270446952046,0.014891182600439007,-0.12030635227897987,-0.23854325742534377,561.568040097956,1370.0559929316396 - 59.137904527784144im,1379.5634354417352 + 0.0im,1458.7439158074 - 21.386629335686745im
670,2.84,-0.4907518410345227,0.028375852870922622,-0.07045300491923004,-0.23928838667802418,547.7773324564727,1371.4476358234292 - 54.88641401130223im,1384.8007628391895 + 0.0im,1450.087063020507 - 21.143142414304783im
672,3.01,-0.7219748839328741,0.01904811231690493,-0.1501119352601049,-0.050412430971049804,546.0772545368611,1374.6518131721086 - 46.94319827943871im,1390.9133869397517 - 2.2834024444087798e-7im,1458.0224758315383 - 27.0631053916736im
674,5.96,-0.8581898781242494,0.03190540543985487,-0.27767187266158605,0.16867980525380333,591.6409417198889,1371.1723916125402 - 40.008701377827414im,1395.0866289260664 + 0.0im,1436.571454268507 - 23.858977311093067im
676,3.26,-0.4691710732453705,0.0463237889074656,-0.02057613336218258,-0.3411893296869053,592.4491205637474,1376.659514278627 - 41.94434893235665im,1396.4853362711592 + 0.0im,1444.326667746675 - 39.40925868502836im
677,2.86,-0.3299548621791628,0.047356428518060954,0.08187975577227366,-0.477316502533719,565.8302907827505,1377.2594383259755 - 42.73297638119393im,1396.0063846621583 + 0.0im,1449.0130153327998 - 38.281210976558306im
681,2.63,-0.6145355652291014,0.0598864984418821,-0.0795278726711311,-0.21501097057721685,556.0602970433737,1374.91905724131 - 59.231007596063606im,1386.381508443985 + 0.0im,1447.059233479001 - 32.18565696552262im
