i,fval,d1,d2,d3,d4,lam,p11,p22,p1,p2
84,2.41,-0.5666976841597176,0.07352622415722798,-0.019151118795918763,-0.2834348869175307,546.3178589444232,1377.317985648199 - 59.40638270537698im,1449.4832978333573 - 25.35198142194454im,1388.3528555682349 + 0.0im,1445.5361795652411 - 36.14557435515085im
88,4.73,-0.4717331701721554,0.05672560782254662,-0.06767048371252554,-0.3471399416063583,631.1985009715554,1371.4230956411407 - 50.05070153709563im,1430.728718490503 - 19.386002979192412im,1396.2988031974305 + 0.0im,1431.6153022100727 - 37.44009294224663im
91,2.68,-0.48761851057454997,0.03621992270194046,-0.04703671415547788,-0.3059194924278127,589.6378749370372,1374.692484881581 - 43.23718548373774im,1445.5225434451195 - 24.222561043846714im,1395.5063146357134 + 0.0im,1447.0671416278856 - 35.21011671358405im
94,3.09,-0.4684173001287799,0.05973361975259271,0.018912921697613848,-0.2901928928852689,559.0561549224117,1377.5106367036572 - 39.163867618932656im,1442.0353186446023 - 26.708162412952163im,1396.5442577393578 + 0.0im,1440.7072080766486 - 33.93153774903975im
128,2.5,-0.4333852629163194,0.041283524293669244,-0.03460273687081933,-0.3606376623011404,586.6591396944717,1372.423824271116 - 51.925050944674im,1445.955137515972 - 20.062850966392194im,1392.1244413922843 + 0.0im,1445.3093515462397 - 31.18144357947195im
129,2.4,-0.4961166238991916,0.03131269047318917,-0.03983560124136192,-0.30240921255345576,571.544036822824,1374.8696119944045 - 45.795308202524595im,1452.423874080712 - 23.79936375828077im,1393.8554230927455 + 0.0im,1452.9883318552718 - 33.50606015089311im
133,4.38,-0.5146094966207349,0.06419766581399053,-0.0773604087017225,-0.2917141152482895,616.7466288431839,1372.2976124675101 - 51.659977515976806im,1432.274625439096 - 19.42504249036245im,1395.7832919613197 + 0.0im,1430.1500401592805 - 35.16448158154122im
142,2.5,-0.4073857693040216,0.009547958467972711,-0.09170587097568392,-0.3570981889233865,592.3976517741776,1366.8067682579283 - 56.31996273550862im,1454.7971411480273 - 12.521350427308073im,1383.632289033186 + 0.0im,1454.9010390427834 - 20.531188937007542im
147,2.76,-0.6025369798227378,0.02673627824284773,-0.09599791551437942,-0.2351890343515663,566.2377225722183,1374.5864548595027 - 52.556435432553315im,1460.5746609958837 - 22.51058600196375im,1389.7094619674604 + 0.0im,1461.1852449949765 - 33.77600155083838im
155,3.08,-0.5333552312604074,-0.016819953728987917,-0.09233175448202824,-0.2928920307700283,596.6253745147682,1372.8052625639978 - 34.14261286512411im,1467.3158380786822 - 23.33828435141303im,1395.805444019554 + 0.0im,1486.073824443997 - 32.44411748989868im
162,2.51,-0.6059238998724005,0.05493988118064363,-0.07673830498000882,-0.1814503152010662,565.2394486975015,1376.0976288410525 - 48.19645012230419im,1446.684487572337 - 23.828168170793678im,1393.8198873579324 - 1.86285100356649e-6im,1443.3239676579965 - 32.88483173486389im
165,2.35,-0.37912536074208786,0.04987378443991717,-0.05029689102890652,-0.39540192817220154,585.8875904262554,1365.9320084146366 - 64.31793603719568im,1447.0880162894155 - 12.771831948471862im,1375.7483441409327 + 0.0im,1442.0522946369965 - 20.94899363950741im
173,2.75,-0.47529384387422013,0.021609943478386625,-0.04419704816932224,-0.38082867614752114,579.0996029655408,1373.6987508593356 - 53.150374742556465im,1459.4968623274658 - 23.050036989760013im,1390.2170849508805 + 0.0im,1465.4054576421797 - 36.56710399005322im
182,4.12,-0.5187144150240077,0.06330357272800263,-0.044742923089024604,-0.2554649546392533,591.635228557074,1376.7011544994712 - 42.670997860617156im,1433.899238643574 - 24.118049459193774im,1396.90177837156 + 0.0im,1433.5325281973292 - 35.38805687663269im
186,2.48,-0.5773464134364935,0.0870759347692085,-0.031142023080767148,-0.23564883038745624,546.1026826551926,1376.043010457225 - 60.74400241885499im,1444.3164861925493 - 21.902830678942955im,1387.5248036465543 + 0.0im,1437.6798132826018 - 31.398146676418527im
189,2.84,-0.4158503224577626,0.03323855792808843,-0.00901427865215913,-0.3901807858938046,595.7696911632456,1375.195959815111 - 41.03674339430802im,1444.0247331959836 - 26.071690093137573im,1396.2226824332524 - 1.1217143312644286e-6im,1449.1245932417169 - 38.184158933150975im
196,2.6,-0.5024055364366683,0.032980578406692065,-0.014354860810384073,-0.2861939870441139,569.3028325204751,1376.485946908306 - 34.912263626205245im,1450.7018485969284 - 29.014533585047932im,1396.6264291117209 + 0.0im,1452.2582179385224 - 36.980524124994766im
202,2.81,-0.4814251866336884,0.08247768380262399,-0.06424536069966638,-0.36594042944012845,597.8570192362207,1365.8516599479333 - 70.45759665865896im,1440.7858205129814 - 15.187334771329281im,1372.6871366734442 + 0.0im,1432.1468788639945 - 26.895791159314737im
203,3.18,-0.5164760008957606,0.050847960162175715,-0.07512634141132081,-0.27119334867303585,599.624819225066,1373.138493440103 - 48.64998543320242im,1439.538640985493 - 20.752777959834333im,1394.8481266331835 + 0.0im,1437.9150047096866 - 32.98363387159795im
206,2.44,-0.47426129711645354,0.03917017389984542,0.009584192506389332,-0.28455833689657856,547.23691842906,1375.9800586143708 - 40.23046126385932im,1451.8638309706907 - 24.879257815541138im,1395.222897659775 + 0.0im,1449.74186886638 - 31.379615203123027im
209,2.6,-0.49402228510170765,0.00018244929325629544,-0.03139002987279987,-0.2859338032453699,567.9101433726418,1374.1890392391313 - 31.208781060071626im,1461.4288301501415 - 25.457785669250164im,1396.3844508706354 + 0.0im,1465.5572213142386 - 32.7625371228236im
211,2.3,-0.44958098343753183,0.04303184562993468,-0.01905028750061484,-0.31441009857053936,545.797238260965,1372.8810421474047 - 56.000868377751985im,1453.34015031587 - 17.861219978769444im,1386.1629799679765 + 0.0im,1448.760851673106 - 25.132604700971694im
