redχsq,d1,d2,d3,d4,lam,pB,repL,impL,repH,impH,pB_g11,pB_g22,pL_g11,pL_g22,pH_g11,pH_g22
5.19,-1.1492857837304422,0.0231784312626812,-0.3720767528250814,0.1474540637219917,696.8680498349495,1396.62,1471.02,-44.84,1471.02,-44.84,1.11,1.31,2.61,4.21,2.61,4.21
4.36,0.5738133587213896,0.0227925602663559,0.2686261748114147,-1.5062680912928883,847.3863053752441,NaN,1388.29,0.0,1439.29,-8.03,NaN,NaN,2.68,1.01,1.04,3.65
2.5,-0.1084589139462573,0.0239592141533945,0.046303165740784,-0.8480224466442053,700.7864559367569,NaN,1390.52,0.0,1454.55,-20.64,NaN,NaN,2.72,1.82,1.71,3.39
4.69,0.4327906204942059,0.023886442255998,0.2538861750096879,-1.2425458636536737,675.2368051268821,NaN,1377.75,-0.0,1440.52,-7.98,NaN,NaN,4.13,1.38,1.04,3.3
6.31,-0.7531388180935925,0.0232395010363343,-0.4944496696286936,-0.122853896965437,830.233209932545,NaN,1360.34,-0.0,1455.01,0.01,NaN,NaN,4.62,1.59,0.03,2.64
2.33,0.0712768598155645,0.0231657712166693,0.1042713158154915,-0.9753077382007672,673.372095447132,NaN,1373.36,-0.0,1452.41,-11.73,NaN,NaN,4.97,1.77,1.23,3.01
4.36,-0.2433521521665666,0.0235894374580881,-0.1087808315768603,-0.6989950323210257,822.4646226199777,NaN,1392.03,0.0,1439.41,-13.55,NaN,NaN,2.37,1.46,1.38,3.75
2.36,-0.2473214497992481,0.0243624123545355,-0.1008222653156065,-0.6728654464549746,733.7199181093949,NaN,1373.28,0.0,1450.59,-8.9,NaN,NaN,4.47,1.2,1.04,3.03
3.45,-0.4606651670823434,0.0237528257385334,-0.1672260948333487,-0.4754762622113313,749.0105455547969,NaN,1392.88,-0.0,1445.11,-18.82,NaN,NaN,2.32,1.67,1.63,3.6
3.15,0.4595871829016437,0.0240654463391312,0.2223641843665125,-1.3774751962901095,793.5555233930146,NaN,1381.43,0.0,1444.32,-7.42,NaN,NaN,3.36,0.94,0.97,3.33
